Model,Set,T,Accuracy
Random Forest 1,Validation set,t1 (1 - 14 days),0.703
Random Forest 1,Validation set,t2 (15 - 28 days),0.665
Random Forest 1,Test set,t1 (1 - 14 days),0.649
Random Forest 1,Test set,t2 (15 - 28 days),0.629
Random Forest 1,Validation set,"combined [t1, t2]",0.501
Random Forest 1,Test set,"combined [t1, t2]",0.429
Random Forest 2,Validation set,t1 (1 - 14 days),0.727
Random Forest 2,Validation set,t2 (15 - 28 days),0.73
Random Forest 2,Test set,t1 (1 - 14 days),0.665
Random Forest 2,Test set,t2 (15 - 28 days),0.66
Random Forest 2,Validation set,"combined [t1, t2]",0.552
Random Forest 2,Test set,"combined [t1, t2]",0.473
Multi-Layer Perceptron,Validation set,t1 (1 - 14 days),0.652
Multi-Layer Perceptron,Validation set,t2 (15 - 28 days),0.651
Multi-Layer Perceptron,Test set,t1 (1 - 14 days),0.559
Multi-Layer Perceptron,Test set,t2 (15 - 28 days),0.624
Multi-Layer Perceptron,Validation set,"combined [t1, t2]",0.448
Multi-Layer Perceptron,Test set,"combined [t1, t2]",0.366
Recurrent Neural Network,Validation set,t1 (1 - 14 days),0.521
Recurrent Neural Network,Validation set,t2 (15 - 28 days),0.476
Recurrent Neural Network,Test set,t1 (1 - 14 days),0
Recurrent Neural Network,Test set,t2 (15 - 28 days),0
Recurrent Neural Network,Validation set,"combined [t1, t2]",0.176
Recurrent Neural Network,Test set,"combined [t1, t2]",0
