model_type,train_score,valid_score,arch,valid_model_splitter
RNNC_SEQ,0.5075757503509521,0.34939759969711304,[13],2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,[26],2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,[52],2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,[512],2
RNNC_SEQ,0.49242424964904785,0.650602400302887,"[13, 13]",2
RNNC_SEQ,0.49242424964904785,0.650602400302887,"[26, 26]",2
RNNC_SEQ,0.4722222089767456,0.42168673872947693,"[52, 52]",2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,"[512, 256]",2
RNNC_SEQ,0.5176767706871033,0.4819277226924896,"[13, 13, 13]",2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,"[26, 26, 26]",2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,"[52, 52, 52]",2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,"[512, 256, 128]",2
RNNC_SEQ,0.49494948983192444,0.46987950801849365,"[13, 13, 13, 13]",2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,"[26, 26, 26, 26]",2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,"[52, 52, 52, 52]",2
RNNC_SEQ,0.48232322931289673,0.3734939694404602,"[512, 256, 128, 64]",2
RNNC_SEQ,0.469696968793869,0.3012048304080963,"[13, 13, 13, 13, 13]",2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,"[26, 26, 26, 26, 26]",2
RNNC_SEQ,0.5,0.3855421543121338,"[52, 52, 52, 52, 52]",2
RNNC_SEQ,0.5075757503509521,0.34939759969711304,"[512, 256, 128, 64, 32]",2
